,u,v,h,w,X,Y,Z,type,n_frame
142,712,225,22,15,27,471,44,yellow,14
143,391,233,21,15,-154,939,82,blue,14
144,266,409,88,65,-215,939,-55,blue,14
145,437,236,23,17,-17,132,11,blue,14
146,452,214,16,11,-10,84,9,yellow,14
147,505,260,29,20,-26,318,21,blue,14
148,611,216,19,14,-12,865,86,yellow,14
149,497,241,23,17,-88,980,79,blue,14
150,515,213,17,12,-47,587,60,yellow,14
151,337,234,16,12,-141,692,61,blue,14
152,404,214,15,10,-15,97,10,yellow,14
153,298,232,13,11,-89,382,34,yellow,14
154,384,214,13,10,-108,627,65,yellow,14
155,280,231,12,11,-74,299,27,blue,14
156,780,273,43,32,9,81,4,yellow,15
157,269,255,27,18,-210,842,59,blue,15
158,309,259,33,23,-49,224,15,blue,15
159,954,372,84,61,206,834,-25,yellow,15
160,659,237,33,25,18,758,61,yellow,15
161,536,228,24,18,-29,462,41,yellow,15
162,210,254,22,16,-48,162,12,blue,15
163,425,224,20,14,-124,882,83,yellow,15
164,357,226,17,12,-160,846,79,yellow,15
165,375,267,35,26,-74,436,25,blue,15
166,346,311,52,39,-88,474,10,blue,15
167,222,389,78,61,-223,844,-36,blue,15
168,180,249,16,11,-96,301,23,yellow,15
169,309,227,15,11,-45,202,19,yellow,15
170,166,247,14,10,-216,656,52,yellow,15
171,288,224,15,11,-199,830,79,yellow,15
172,268,221,14,11,-88,347,34,yellow,15
173,305,318,58,42,-75,352,5,blue,16
174,251,294,41,30,-152,592,22,blue,16
175,744,273,50,35,60,679,35,yellow,16
176,568,244,36,26,-28,766,57,yellow,16
177,957,369,81,60,157,633,-18,yellow,16
178,365,231,23,16,-6,35,3,yellow,16
179,440,234,26,18,-55,432,37,yellow,16
180,217,281,32,23,-215,754,37,blue,16
181,160,459,96,70,-103,341,-33,blue,16
182,318,229,19,13,-11,53,5,yellow,16
183,163,260,18,12,-272,824,56,blue,16
184,302,226,16,11,-228,997,94,yellow,16
185,178,271,24,16,-83,262,15,blue,16
186,469,238,28,20,-16,146,12,yellow,17
187,554,248,37,28,-22,484,35,yellow,17
188,209,284,30,22,-132,452,21,blue,17
189,425,230,20,14,-27,191,17,yellow,17
190,207,321,41,28,-255,882,16,blue,17
191,749,297,58,43,79,839,26,yellow,17
192,231,258,22,15,-35,127,9,blue,17
193,1111,445,98,76,194,525,-47,yellow,17
194,403,220,15,10,-94,593,58,yellow,17
195,130,523,110,78,-278,868,-128,blue,17
196,245,248,17,11,-219,810,63,blue,17
197,255,240,14,10,-168,636,53,blue,17
198,179,374,63,48,-193,640,-18,blue,17
199,414,224,17,12,-100,669,63,yellow,17
200,436,203,13,11,-75,555,62,yellow,17
201,271,233,13,10,-148,586,52,yellow,17
202,725,270,46,33,15,205,11,yellow,18
203,884,337,77,54,166,854,-2,yellow,18
204,666,238,31,23,7,247,20,yellow,18
205,393,256,31,22,-8,50,3,blue,18
206,136,435,91,73,-26,81,-7,blue,18
207,432,238,22,15,-59,434,36,blue,18
208,462,227,18,12,-65,560,52,blue,18
209,649,213,20,14,11,850,87,yellow,18
210,671,205,17,12,21,800,87,yellow,18
211,291,310,51,39,-7,32,1,blue,18
212,492,215,16,11,-56,584,60,blue,18
213,659,227,21,17,7,343,31,yellow,18
214,525,209,12,11,-4,53,6,yellow,18
215,743,197,13,10,51,681,79,yellow,18
216,698,200,15,11,0,0,0,yellow,18
217,683,202,16,11,15,445,50,yellow,18
218,798,197,13,10,95,850,98,yellow,18
219,983,303,50,36,232,907,26,yellow,19
220,510,296,58,42,-61,881,28,blue,19
221,597,256,37,28,-1,76,5,blue,19
222,651,237,25,17,15,987,83,blue,19
223,937,262,38,26,63,286,18,yellow,19
224,913,237,23,14,181,922,78,yellow,19
225,951,219,17,12,107,482,47,yellow,19
226,167,505,109,87,-134,456,-63,blue,19
227,999,215,18,11,82,321,33,yellow,19
228,926,225,19,13,156,764,72,yellow,19
229,773,210,14,11,39,411,44,yellow,19
230,1062,219,14,11,222,736,73,yellow,19
231,1195,472,108,77,432,981,-107,yellow,19
232,738,214,15,11,60,843,87,blue,19
233,696,223,20,13,41,908,87,blue,19
234,1098,221,14,11,207,632,62,yellow,19
235,816,208,12,11,37,299,32,yellow,19
236,915,249,26,18,83,419,31,yellow,19
237,1187,227,12,11,183,462,43,yellow,19
238,1148,226,13,10,328,898,84,yellow,19
239,861,206,11,11,11,68,7,yellow,19
240,560,292,56,40,-4,120,4,blue,20
241,1018,300,55,41,122,429,12,yellow,20
242,951,240,29,19,161,715,58,yellow,20
243,628,251,38,27,5,959,67,blue,20
244,689,229,27,18,37,885,79,blue,20
245,1116,380,78,58,170,463,-17,yellow,20
246,981,225,22,14,100,409,38,yellow,20
247,736,218,20,14,47,647,64,blue,20
248,1027,221,19,13,217,785,76,yellow,20
249,958,232,24,16,166,724,63,yellow,20
250,963,264,37,26,46,196,12,yellow,20
251,1175,228,15,11,367,948,88,yellow,20
252,822,208,15,11,125,963,103,blue,20
253,408,394,79,60,-121,913,-43,blue,20
254,870,205,14,11,106,649,71,blue,20
255,1214,229,14,10,239,571,52,yellow,20
256,775,211,19,14,54,547,57,blue,20
257,909,205,13,11,65,344,38,yellow,20
258,1127,225,16,11,89,254,24,yellow,20
259,1091,225,16,11,213,658,62,yellow,20
260,950,206,12,10,123,562,61,yellow,20
261,1186,227,14,11,140,353,33,yellow,20
262,950,245,30,21,63,279,21,yellow,21
263,968,269,39,26,98,408,23,yellow,21
264,620,259,37,26,-1,504,32,blue,21
265,977,227,20,13,3,11,1,yellow,21
266,1159,408,82,60,279,695,-39,yellow,21
267,678,234,27,18,29,839,72,blue,21
268,1033,310,56,40,154,523,11,yellow,21
269,767,214,18,12,57,615,63,blue,21
270,1087,226,16,11,90,282,27,yellow,21
271,957,235,24,16,192,841,72,yellow,21
272,1023,224,18,12,208,761,72,yellow,21
273,1123,228,15,11,58,168,16,yellow,21
274,1171,230,16,11,311,808,74,yellow,21
275,1208,229,16,11,327,789,72,yellow,21
276,814,210,16,12,7,53,6,blue,21
277,863,208,13,10,65,413,44,yellow,21
278,726,222,21,14,5,79,8,blue,21
279,540,303,60,43,-27,562,15,blue,21
280,900,208,12,11,91,497,53,yellow,21
281,943,208,12,11,102,476,51,yellow,21
282,1235,230,15,11,13,30,3,yellow,21
283,1153,227,13,11,98,265,25,yellow,21
284,975,276,44,31,114,459,23,yellow,22
285,950,250,33,22,61,269,19,yellow,22
286,508,321,66,48,-3,49,1,blue,22
287,974,226,21,13,131,549,51,yellow,22
288,663,237,29,19,8,299,25,blue,22
289,755,213,18,12,61,716,74,blue,22
290,713,222,22,15,34,592,57,blue,22
291,1052,326,57,43,78,251,2,yellow,22
292,952,236,27,18,41,182,15,yellow,22
293,1166,227,16,11,63,165,15,yellow,22
294,598,265,43,31,-3,219,13,blue,22
295,803,208,17,12,83,712,76,blue,22
296,1204,448,93,69,377,853,-76,yellow,22
297,1118,225,17,11,172,499,47,yellow,22
298,1083,224,18,13,273,857,81,yellow,22
299,854,205,15,11,124,815,89,blue,22
300,1203,229,14,11,325,794,73,yellow,22
301,1019,223,19,13,202,746,71,yellow,22
302,892,204,14,10,62,350,39,yellow,22
303,1091,225,16,12,293,904,85,yellow,22
304,935,204,13,10,78,373,41,yellow,22
305,1227,228,14,11,317,740,69,yellow,22
306,1210,229,13,12,38,92,8,yellow,22
307,976,290,43,30,111,447,18,yellow,23
308,566,282,44,32,-33,925,42,blue,23
309,952,256,27,19,103,458,32,yellow,23
310,1070,345,73,53,219,666,-5,yellow,23
311,457,356,71,52,-62,608,-10,blue,23
312,639,248,31,22,2,251,18,blue,23
313,1010,231,19,13,103,391,35,yellow,23
314,694,232,23,16,31,699,61,blue,23
315,1074,232,16,12,261,841,75,yellow,23
316,964,234,24,16,133,570,49,yellow,23
317,789,216,16,12,88,822,83,blue,23
318,838,213,15,11,78,558,58,blue,23
319,1109,232,17,12,69,204,18,yellow,23
320,1083,230,16,11,64,200,18,yellow,23
321,740,226,18,13,67,899,84,blue,23
322,1155,234,15,11,224,603,53,yellow,23
323,878,212,14,12,162,959,99,blue,23
324,159,605,109,121,-102,339,-76,blue,23
325,1190,236,13,11,166,417,36,yellow,23
326,921,211,14,11,146,732,77,yellow,23
327,1046,219,12,10,271,940,93,yellow,23
328,992,297,52,38,160,607,19,yellow,24
329,517,292,58,42,-49,766,26,blue,24
330,942,237,29,20,50,227,19,yellow,24
331,1121,382,83,65,285,768,-30,yellow,24
332,664,228,26,18,1,34,3,blue,24
333,952,265,39,27,56,245,15,yellow,24
334,957,230,22,15,40,175,16,yellow,24
335,603,249,36,25,-11,865,62,blue,24
336,374,416,73,53,-77,490,-29,blue,24
337,711,217,21,15,30,545,54,blue,24
338,1142,225,16,11,303,835,79,yellow,24
339,999,223,19,13,213,832,80,yellow,24
340,816,204,17,12,124,981,107,yellow,24
341,857,203,15,11,32,211,23,yellow,24
342,1061,222,18,12,255,846,81,yellow,24
343,901,204,14,11,183,988,109,yellow,24
344,763,209,20,14,56,614,65,blue,24
345,1095,221,20,12,60,182,18,yellow,24
346,969,206,12,10,93,402,44,yellow,24
347,1196,224,13,10,154,383,37,yellow,24
348,931,252,33,24,48,224,16,yellow,25
349,1015,331,70,49,12,42,0,yellow,25
350,429,338,70,51,-52,434,-1,blue,25
351,984,228,19,13,197,802,74,yellow,25
352,546,268,42,29,-29,579,33,blue,25
353,673,225,23,16,15,498,46,blue,25
354,617,237,32,23,-3,580,47,blue,25
355,1044,227,16,12,132,457,42,yellow,25
356,1077,227,17,11,213,681,64,yellow,25
357,941,236,27,17,70,321,27,yellow,25
358,952,283,48,36,94,405,17,yellow,25
359,730,216,19,13,50,734,74,blue,25
360,785,209,17,12,30,288,30,yellow,25
361,1208,455,111,71,249,551,-52,yellow,25
362,873,206,14,11,50,303,33,yellow,25
363,174,568,129,112,-234,832,-162,blue,25
364,1152,227,14,10,324,877,82,yellow,25
365,1122,227,16,11,140,402,38,yellow,25
366,828,207,15,11,118,886,96,yellow,25
367,1105,228,15,12,83,248,23,yellow,25
368,943,208,13,11,19,87,9,yellow,25
369,1171,227,14,10,90,234,22,yellow,25
370,971,311,62,45,196,779,15,yellow,26
371,945,239,27,18,26,120,10,yellow,26
372,927,268,39,26,12,57,3,yellow,26
373,553,255,38,27,-23,486,33,blue,26
374,962,229,25,17,169,728,65,yellow,26
375,1054,228,18,12,128,433,40,yellow,26
376,454,303,55,41,-40,364,10,blue,26
377,1034,227,19,13,209,740,69,yellow,26
378,1023,230,18,13,219,799,72,yellow,26
379,617,234,29,21,-2,396,33,blue,26
380,743,213,18,13,15,200,21,blue,26
381,1096,227,16,11,232,708,66,yellow,26
382,682,222,23,16,29,793,75,blue,26
383,1078,396,87,64,106,311,-15,yellow,26
384,789,209,16,12,4,35,4,yellow,26
385,837,209,15,11,93,662,71,yellow,26
386,1123,227,14,11,296,854,80,yellow,26
387,910,209,14,11,163,853,91,yellow,26
388,265,444,83,60,-70,301,-25,blue,26
389,927,242,30,22,90,433,34,yellow,26
390,928,302,51,37,154,710,21,yellow,27
391,904,261,35,26,2,10,1,yellow,27
392,938,238,26,18,83,384,32,yellow,27
393,270,390,76,57,-230,997,-42,blue,27
394,1033,390,81,61,262,860,-38,yellow,27
395,531,255,36,26,-58,931,62,blue,27
396,439,292,49,36,-6,47,2,blue,27
397,615,236,26,18,-1,99,8,blue,27
398,1024,233,19,13,41,148,13,yellow,27
399,735,214,18,12,22,313,32,blue,27
400,996,235,21,14,71,280,24,yellow,27
401,1065,232,17,11,278,915,82,yellow,27
402,684,220,22,16,27,723,70,blue,27
403,787,212,17,11,103,967,101,yellow,27
404,1087,230,14,11,50,156,14,yellow,27
405,1036,232,18,13,26,93,8,yellow,27
406,898,286,49,33,135,692,29,yellow,28
407,913,249,35,25,53,263,19,yellow,28
408,385,295,50,36,-131,827,28,blue,28
409,974,232,23,16,58,241,21,yellow,28
410,505,256,35,27,-57,703,47,blue,28
411,972,375,77,59,242,938,-30,yellow,28
412,217,383,75,56,-2,9,0,blue,28
413,967,238,23,15,39,165,14,yellow,28
414,1027,229,18,12,0,1,0,yellow,28
415,598,229,27,19,-6,311,28,blue,28
