,u,v,h,w,X,Y,Z,type,n_frame
620,690,237,28,19,6,144,12,blue,41
621,1040,231,19,13,31,110,10,yellow,41
622,999,303,56,38,29,109,3,yellow,41
623,1073,229,18,12,195,626,57,yellow,41
624,791,222,22,15,16,148,14,blue,41
625,336,363,68,52,-157,841,-18,blue,41
626,1112,229,17,12,129,381,35,yellow,41
627,855,214,18,12,151,984,101,blue,41
628,1089,227,16,12,187,581,54,yellow,41
629,917,213,14,11,194,989,102,blue,41
630,1176,301,42,31,224,561,18,yellow,42
631,634,313,59,43,14,922,17,blue,42
632,809,258,39,27,10,75,5,blue,42
633,921,238,30,21,152,744,61,blue,42
634,1210,257,29,19,140,332,23,yellow,42
635,1243,256,22,16,198,446,31,yellow,42
636,989,230,20,13,69,277,25,blue,42
637,1053,228,17,12,79,267,25,blue,42
638,1192,269,31,19,268,658,39,yellow,42
639,231,509,116,84,-68,279,-39,blue,42
640,1117,229,15,11,318,929,85,yellow,42
641,1179,305,43,32,217,541,15,yellow,43
642,629,320,58,43,6,489,7,blue,43
643,918,241,31,22,181,892,70,blue,43
644,1212,264,25,15,48,113,7,yellow,43
645,987,231,23,15,83,335,30,blue,43
646,1190,275,30,21,367,906,49,yellow,43
647,1240,258,28,18,205,461,31,yellow,43
648,1051,231,18,12,205,695,62,blue,43
649,806,262,39,28,41,320,20,blue,43
650,1115,232,17,11,199,582,52,yellow,43
651,197,538,120,99,-249,932,-155,blue,43
652,1186,305,47,35,5,12,0,yellow,44
653,797,261,41,29,106,878,54,blue,44
654,914,239,29,20,192,966,78,blue,44
655,1237,254,28,18,146,331,23,yellow,44
656,981,227,19,15,122,503,46,blue,44
657,1210,260,27,16,12,29,2,yellow,44
658,1043,226,17,13,282,980,91,blue,44
659,606,333,71,45,0,378,1,yellow,44
660,1106,226,18,12,219,651,61,yellow,44
661,1191,272,32,22,95,234,13,yellow,44
662,784,276,45,32,68,595,29,blue,45
663,903,248,32,25,20,105,8,blue,45
664,1217,324,50,37,345,794,10,yellow,45
665,1236,262,24,16,61,138,9,yellow,45
666,1210,267,27,17,408,973,60,yellow,45
667,970,235,22,15,176,743,64,blue,45
668,1032,229,20,14,167,594,54,blue,45
669,1094,230,17,11,56,171,16,blue,45
670,1199,279,33,23,153,369,19,yellow,45
671,1268,261,23,11,276,594,41,yellow,45
672,883,250,37,26,93,517,37,blue,46
673,753,295,57,42,90,929,30,blue,46
674,1205,287,34,24,212,505,22,yellow,46
675,1008,226,21,14,116,442,41,blue,46
676,1224,260,25,15,170,396,27,yellow,46
677,1253,257,23,16,3,6,0,yellow,46
678,947,232,26,18,26,119,10,blue,46
679,1203,267,27,18,406,979,60,yellow,46
680,1251,348,55,30,176,378,-1,yellow,46
681,1240,254,27,20,99,224,16,yellow,46
682,1068,224,19,13,200,650,62,blue,46
